 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
42,242.01,156.45,120.06,162.53,274.73,393.69,413.76,427.10,456.23,450.78,382.16,406.44,527.86,655.37,762.88,707.61,571.58,685.74,592.85,445.92,231.69,271.09,229.23,213.45,188.61
43,194.69,136.44,118.84,165.56,248.05,423.46,410.10,414.94,450.16,444.09,353.04,383.38,506.01,662.08,771.40,686.95,575.83,680.77,592.23,509.68,235.93,258.97,257.14,216.50,213.49
44,223.81,146.15,138.25,182.54,286.28,420.40,425.27,384.60,412.51,460.47,387.02,405.83,516.31,643.23,788.38,712.47,550.93,694.87,625.01,473.86,225.02,258.96,232.27,197.69,202.56
45,271.76,150.39,126.72,163.12,257.76,405.85,448.34,438.03,425.91,423.46,340.27,375.49,515.72,635.95,817.56,705.18,557.60,655.40,600.12,487.81,259.61,263.21,229.23,187.37,198.32
46,227.44,144.92,139.46,182.55,282.03,416.15,425.85,433.80,457.44,471.42,380.35,382.76,512.07,638.98,768.38,708.83,573.41,701.55,614.08,479.92,229.87,241.97,230.47,187.39,178.89
47,196.50,144.33,145.54,194.06,257.13,418.00,408.28,434.98,413.11,465.31,354.86,382.78,489.63,627.43,833.34,720.36,570.98,703.94,593.43,478.11,224.42,268.68,258.36,191.63,192.25
48,184.35,115.22,121.27,176.48,272.96,437.41,432.55,435.60,436.20,441.06,385.22,417.99,492.06,656.58,787.77,714.87,513.30,652.33,614.68,458.69,237.76,260.80,230.45,202.54,175.26
49,160.09,106.73,106.72,181.93,266.25,416.16,425.26,407.65,441.08,446.53,382.76,376.72,496.30,652.97,797.50,728.83,561.25,699.71,634.72,514.50,235.34,278.39,242.60,203.76,198.33
50,124.30,98.81,121.27,182.53,269.90,422.85,447.72,421.02,424.06,434.37,377.30,394.92,535.14,662.04,755.59,727.63,570.95,691.81,597.68,473.85,246.89,240.15,245.01,201.94,181.94
51,102.47,100.64,110.36,174.65,265.05,430.73,420.42,426.51,438.02,447.73,373.66,372.43,538.80,632.92,778.05,714.90,606.78,662.67,598.93,492.67,251.71,257.15,235.31,210.42,182.54
52,95.80,90.94,104.28,162.50,253.51,410.70,422.22,415.56,439.83,438.63,360.31,374.27,524.82,635.33,771.99,733.73,571.58,690.01,598.90,464.74,236.55,273.52,233.50,207.40,190.44
53,82.45,89.14,96.40,149.76,255.33,412.51,432.55,425.31,450.17,428.90,363.98,386.41,521.80,648.69,741.00,721.57,604.98,676.63,583.73,480.50,246.25,266.26,236.52,207.39,187.41
54,97.01,80.03,109.14,147.34,239.56,399.78,425.87,394.92,411.90,441.05,399.16,357.88,530.30,635.94,752.55,717.91,535.14,673.58,584.92,488.41,243.20,260.80,238.95,187.99,197.72
55,81.24,68.50,103.08,165.56,246.22,395.52,417.38,395.53,439.22,425.26,363.97,399.13,516.94,623.80,755.58,724.59,574.61,676.63,614.09,455.65,247.47,265.64,230.44,219.53,191.63
56,88.51,68.50,98.83,148.57,255.95,408.87,432.57,419.19,431.32,444.70,359.72,381.57,506.61,629.88,742.23,678.44,522.41,656.60,628.66,470.82,238.38,245.63,240.77,198.90,191.65
57,78.21,64.86,81.85,152.81,258.37,417.38,413.12,438.01,439.22,434.36,378.53,392.47,529.68,605.58,734.33,702.76,540.64,727.04,588.58,478.09,232.92,269.87,271.13,209.21,174.05
58,78.22,60.62,86.69,134.60,241.38,409.48,417.96,418.57,441.04,463.50,343.31,353.64,487.78,577.05,755.57,713.67,549.70,700.34,575.84,524.26,237.75,263.23,228.02,194.66,184.97
59,92.15,67.90,87.92,151.00,247.45,414.33,408.28,411.90,441.66,458.05,341.52,360.31,493.27,636.53,782.20,717.30,577.65,696.66,588.58,456.27,221.98,254.12,237.73,198.90,181.34
60,73.96,66.68,86.69,148.56,254.72,407.64,408.88,424.08,438.64,401.58,367.61,403.38,494.48,618.93,741.01,705.78,560.66,659.66,563.68,474.48,237.16,283.22,244.41,180.10,177.07
61,81.23,77.60,86.09,141.90,224.40,406.45,390.68,429.51,470.79,419.21,353.04,382.76,504.81,645.06,760.45,684.52,562.49,680.28,591.61,475.07,265.08,269.30,226.20,204.95,209.85
62,71.54,74.57,98.83,155.24,260.17,387.63,443.48,403.44,443.48,418.58,388.25,394.30,493.89,618.32,767.14,740.38,580.09,681.49,562.49,470.82,229.88,262.62,226.21,191.02,192.25
63,72.74,69.11,85.49,142.52,233.48,396.12,436.79,394.32,416.77,438.02,374.28,380.97,538.77,625.00,773.20,691.19,559.44,725.21,606.21,451.40,231.07,295.39,230.46,197.08,179.50
64,100.64,65.47,95.19,137.64,255.94,435.56,396.74,401.60,472.62,442.88,374.89,392.48,515.74,637.76,759.12,704.58,583.11,685.11,604.36,470.20,242.02,264.43,237.13,218.33,183.75
65,72.75,65.48,84.27,163.74,235.93,399.77,409.48,423.44,430.13,417.39,370.02,379.12,507.23,627.42,750.12,680.89,560.05,672.39,589.81,468.36,241.41,261.40,238.96,212.87,175.86
66,78.82,73.96,109.14,149.77,236.53,404.01,430.13,397.33,467.14,436.22,364.57,402.18,478.09,616.54,774.90,679.66,564.90,676.64,581.28,464.74,223.18,263.22,234.09,201.94,192.24
67,89.74,66.08,79.42,158.27,237.11,430.12,414.97,408.27,445.29,445.31,389.45,379.14,511.48,579.36,781.69,684.54,599.51,675.40,560.05,512.72,235.94,267.45,214.66,196.48,207.43
68,68.51,65.47,103.67,141.89,238.36,420.41,436.22,419.82,452.59,433.77,359.13,361.51,477.48,615.29,734.94,710.01,555.78,679.68,594.03,472.00,238.38,255.34,220.14,195.25,191.04
69,66.08,70.93,84.28,137.03,224.39,373.67,396.76,399.76,457.45,444.70,376.71,378.51,490.83,668.14,754.98,672.98,635.31,645.65,598.90,444.12,235.98,264.43,223.78,198.91,189.82
70,77.61,77.00,66.69,137.65,249.86,387.64,408.28,401.59,450.16,445.31,353.01,353.64,508.43,623.19,753.14,707.59,557.62,677.24,606.78,493.89,245.04,273.53,238.33,193.43,188.60
71,73.97,74.57,84.87,152.21,266.85,404.60,413.72,434.96,425.27,420.42,339.07,365.18,506.52,668.74,763.46,676.63,590.39,665.11,586.17,496.31,242.01,259.56,212.25,189.80,169.79
72,71.53,78.81,72.14,134.61,258.38,402.79,422.23,434.38,439.24,420.43,380.34,381.55,477.49,601.90,759.24,738.56,618.95,703.36,586.75,456.85,254.15,268.68,228.02,189.19,175.87
73,77.60,57.59,93.97,128.55,263.84,397.95,421.61,393.70,457.44,428.92,361.53,378.50,485.36,617.10,777.45,720.96,544.24,670.56,574.02,465.96,230.49,247.45,223.78,222.55,198.32
74,84.88,76.99,84.88,136.44,285.68,382.77,417.37,416.78,459.87,442.88,352.44,385.81,499.95,663.89,763.48,719.14,600.72,674.20,606.81,442.90,238.97,240.77,238.94,186.77,177.70
75,79.42,66.69,86.70,133.40,228.05,380.96,425.85,411.32,431.32,459.27,354.87,370.65,497.52,639.59,762.27,700.91,571.56,642.63,560.04,447.15,240.20,264.44,211.05,201.32,209.24
76,72.76,66.69,89.72,146.76,253.51,388.83,392.49,425.25,434.99,436.20,334.83,395.52,524.84,638.39,733.70,674.78,572.19,647.46,581.30,468.40,234.13,245.62,230.45,203.74,197.71
77,68.51,69.12,81.84,138.86,246.86,409.48,406.43,421.64,452.58,421.03,394.31,356.08,509.03,632.31,732.51,725.20,555.17,675.90,587.36,464.14,231.68,277.18,237.13,196.49,191.01
78,78.81,64.26,80.63,157.65,257.76,394.91,407.06,431.95,436.19,454.43,346.97,359.11,503.61,612.87,788.99,698.51,557.61,709.41,589.81,476.91,230.50,251.09,247.44,198.29,177.08
79,86.09,66.08,85.49,144.92,255.34,405.84,425.88,399.20,458.06,433.17,375.49,353.03,501.76,647.48,799.33,689.36,555.20,669.35,574.61,466.55,223.82,258.36,218.32,198.89,217.73
80,73.36,81.24,84.28,141.89,263.84,427.10,433.75,410.71,442.87,454.43,361.52,384.01,492.67,600.11,768.35,704.56,556.37,639.59,588.57,470.81,246.89,258.98,237.11,207.40,191.05
81,79.42,62.44,73.36,144.31,234.09,407.66,438.01,414.97,443.48,439.23,358.48,368.83,493.88,612.29,782.32,700.92,597.08,687.58,558.84,455.03,231.08,260.18,223.77,228.63,203.78
82,79.42,59.41,79.43,140.10,231.67,383.34,393.10,428.29,465.92,432.56,358.52,388.85,490.83,629.25,742.85,694.83,601.93,676.02,593.43,495.71,223.20,254.73,198.90,189.80,173.43
83,80.64,69.71,75.78,154.63,248.65,394.31,447.73,419.82,398.57,410.72,350.00,381.55,475.04,643.23,779.89,711.23,564.31,660.24,586.14,498.13,225.62,262.61,223.79,198.90,202.57
84,86.71,66.68,90.94,142.50,254.72,394.30,446.53,416.78,447.11,417.97,346.36,350.00,504.21,637.16,744.65,676.60,573.41,669.96,589.18,432.57,243.22,273.51,243.82,205.57,193.45
85,74.57,63.05,100.04,149.78,240.76,396.14,410.09,390.06,448.95,416.79,377.93,393.70,493.85,629.87,747.69,700.93,579.47,651.72,612.89,460.51,223.82,244.43,237.13,188.59,195.27
86,77.01,75.79,83.06,136.42,237.12,435.58,433.17,444.71,444.11,416.75,360.32,402.80,505.41,631.68,777.94,730.65,581.27,669.98,588.57,487.82,226.85,262.00,225.62,199.52,196.99
87,73.98,61.84,87.30,140.07,241.38,414.95,418.60,411.90,408.25,446.53,343.92,398.56,514.48,642.65,777.44,690.59,558.83,648.72,550.33,505.43,242.63,260.17,223.77,187.37,172.84
88,62.44,73.97,90.34,158.88,255.94,402.17,447.74,392.50,456.24,394.33,367.59,400.36,515.14,654.15,778.06,700.32,535.77,709.43,569.73,475.08,228.05,254.73,214.69,201.32,209.85
89,77.00,65.47,87.30,130.37,245.01,388.84,444.08,401.60,437.43,419.80,350.58,373.68,499.94,616.53,758.49,686.97,578.87,650.53,559.44,470.22,222.58,250.47,256.56,194.06,201.37
90,75.17,64.26,81.84,141.90,259.56,413.12,422.24,402.82,434.98,453.20,356.67,366.38,493.26,594.65,766.51,691.82,622.57,667.51,587.97,424.68,248.09,271.72,223.18,210.42,201.95
91,75.78,73.36,78.21,150.37,226.82,383.38,422.84,401.60,441.03,397.95,351.24,390.04,484.16,617.73,739.80,682.09,560.65,680.88,594.67,449.56,248.11,243.19,241.97,202.53,191.02
92,83.06,83.06,75.78,152.19,246.84,410.67,424.07,420.40,417.37,441.66,382.17,368.81,480.52,631.08,758.01,716.10,563.10,688.17,599.52,476.88,224.40,253.51,232.29,186.18,177.08
93,81.84,68.51,87.91,154.03,237.12,397.95,429.53,411.31,459.24,421.01,359.72,357.28,498.73,616.51,779.75,713.05,572.77,708.23,570.96,494.52,240.79,247.43,231.07,204.36,188.00
94,80.04,66.08,93.38,138.25,251.70,404.64,431.93,430.11,431.95,421.64,373.66,372.46,502.99,619.54,768.33,670.56,628.66,650.53,597.08,489.04,242.02,240.78,229.24,197.69,195.89
95,85.49,81.85,86.70,150.99,257.16,408.25,402.82,422.26,427.70,426.48,357.28,371.85,464.71,615.28,741.00,719.13,601.94,650.51,602.54,483.56,240.19,251.10,235.94,205.59,174.66
96,93.97,66.08,101.85,150.40,251.70,403.42,425.26,416.16,425.87,421.04,366.37,392.51,510.25,631.71,833.34,662.66,575.21,666.30,598.30,472.63,254.16,268.68,220.75,215.29,176.48
97,75.78,77.60,93.97,164.93,245.63,427.69,451.98,406.46,477.48,422.25,366.39,371.85,476.25,624.42,753.79,726.42,598.89,632.93,580.09,447.15,277.22,258.37,247.44,228.03,185.59
98,76.38,84.27,86.71,155.25,274.14,410.10,425.27,415.57,439.84,427.09,349.40,362.13,486.59,607.41,789.00,713.67,560.05,672.40,563.69,440.47,235.95,274.13,217.73,217.72,204.38
99,73.98,70.92,93.35,149.17,232.88,403.42,442.28,398.54,442.26,438.65,363.37,365.81,484.77,617.72,767.72,733.72,570.98,696.04,583.13,479.92,240.19,297.20,237.74,203.76,213.49
100,75.18,66.68,84.87,159.49,266.87,427.69,444.09,419.82,445.30,435.59,351.82,391.26,495.05,611.68,768.34,670.56,581.92,663.27,576.44,473.25,257.78,233.48,229.24,211.64,200.75
101,71.54,75.17,87.31,146.14,263.82,386.42,436.19,415.58,428.32,430.74,356.67,398.55,509.05,657.18,753.76,692.39,555.20,705.79,624.39,477.50,212.89,271.08,221.97,237.74,212.88
102,80.63,74.58,86.09,134.00,252.87,421.02,407.68,390.08,459.26,425.28,377.91,357.91,522.38,642.62,774.91,694.87,580.69,691.79,581.30,444.09,231.09,286.28,235.92,204.96,177.68
103,92.15,57.60,91.55,149.17,240.78,391.27,433.76,388.24,412.52,428.31,362.74,373.06,481.11,593.44,745.25,711.24,561.87,675.43,586.76,484.17,224.42,286.28,260.78,209.23,205.60
104,71.54,73.96,86.70,132.18,238.36,399.76,425.88,433.78,436.18,444.70,369.43,366.99,489.00,647.49,736.77,703.33,598.30,665.08,536.39,472.02,224.42,243.19,246.22,221.35,206.21
105,74.57,58.80,70.93,141.29,258.99,414.33,410.70,403.40,465.85,423.46,346.37,396.13,506.62,606.79,742.83,706.98,601.33,659.02,595.25,459.88,234.13,269.29,252.30,204.36,198.30
106,92.17,60.01,82.45,158.89,248.04,374.25,419.19,410.71,419.80,398.58,359.72,399.16,488.99,587.36,801.72,684.52,566.70,691.81,573.39,464.14,226.23,268.07,208.01,199.51,171.02
107,67.31,68.50,92.76,161.32,248.67,425.25,420.42,413.76,424.65,401.59,380.95,389.45,476.89,637.78,758.01,679.64,601.34,680.27,562.47,462.91,226.85,253.50,246.23,210.43,205.00
108,73.97,58.81,78.82,143.71,246.22,377.31,431.95,395.53,449.57,421.62,363.36,382.77,490.22,636.55,764.69,689.39,574.62,668.72,597.06,449.56,218.96,266.85,228.03,206.17,191.62
109,77.60,72.75,83.68,151.60,236.54,410.11,394.28,420.38,429.53,463.93,353.03,383.98,490.22,651.74,761.65,725.82,574.61,666.31,584.93,463.52,220.76,247.44,234.09,209.81,186.79
110,72.75,60.02,83.67,146.14,250.48,387.61,411.92,429.53,448.35,428.29,340.30,397.36,478.10,635.95,752.55,691.80,574.02,671.16,597.08,456.84,214.11,256.56,233.51,232.90,198.92
111,81.24,69.11,87.30,160.09,239.55,399.17,423.46,411.92,458.67,422.83,355.46,337.24,497.52,601.82,804.79,678.46,577.66,672.39,537.59,458.67,226.84,254.73,229.85,223.77,173.43
112,80.64,74.57,84.88,161.91,220.16,405.21,420.42,408.88,428.30,424.09,322.70,387.01,490.82,610.45,756.81,680.25,581.30,650.52,575.22,478.71,215.91,285.08,237.14,205.56,206.81
113,72.75,72.15,85.48,143.10,254.12,388.85,412.51,403.44,425.29,427.11,387.65,391.89,441.03,640.19,739.19,685.76,586.77,663.89,576.93,483.58,230.48,283.84,232.28,211.05,189.83
114,71.54,76.39,86.70,144.31,236.52,390.05,408.26,441.65,462.32,410.10,352.40,353.03,506.64,597.08,750.12,708.80,578.86,664.48,574.01,433.18,220.77,267.46,254.72,218.32,171.02
115,80.63,75.79,89.74,153.42,236.53,385.81,419.21,397.96,428.28,410.09,367.60,376.10,493.24,647.48,720.98,697.27,584.33,632.90,595.24,445.93,227.45,258.36,220.15,209.83,180.72
116,72.75,58.80,92.76,155.85,243.80,409.46,435.60,411.91,444.67,425.91,346.37,396.74,517.57,614.69,713.07,720.36,536.96,643.23,553.95,461.72,249.91,255.94,228.64,205.58,178.88
117,61.23,62.44,84.88,149.77,248.07,393.70,434.99,394.32,417.35,436.81,363.35,337.25,508.43,623.79,747.08,686.33,555.78,642.01,572.80,421.02,231.09,235.31,238.95,200.11,175.24
118,86.09,70.94,82.45,151.00,243.20,414.33,429.52,411.32,439.23,409.51,343.30,362.12,463.51,577.63,754.86,704.57,587.36,659.63,595.28,458.66,243.23,263.20,226.18,216.49,203.15
119,76.39,60.01,87.31,141.89,245.63,387.02,479.93,377.32,431.31,400.40,350.61,357.90,456.22,594.63,752.54,706.98,583.10,640.20,560.05,456.85,239.57,269.90,218.93,185.55,192.25
120,70.33,57.59,86.10,144.32,271.11,387.63,420.43,390.68,414.35,410.09,367.01,363.96,503.57,624.39,722.78,649.29,584.95,655.38,580.68,454.41,217.74,250.49,224.39,200.72,184.95
121,58.19,72.75,76.40,137.65,245.01,374.28,468.98,399.18,442.88,422.84,346.36,360.93,504.77,623.81,736.77,675.42,550.94,685.72,588.58,482.97,218.97,255.33,246.22,185.55,171.00
122,74.57,63.05,81.24,123.08,262.63,379.13,390.08,393.70,434.98,421.00,365.16,403.41,506.01,609.23,728.84,699.09,592.22,655.39,573.41,435.62,228.66,243.19,221.35,196.48,190.42
123,79.42,68.51,87.31,133.40,260.80,403.41,433.17,407.07,412.52,422.23,348.81,370.04,467.18,621.98,748.91,713.66,614.11,679.67,591.03,492.08,225.62,246.83,220.14,194.65,186.78
124,80.64,55.17,90.34,130.37,266.88,387.64,436.80,396.15,437.39,439.83,355.48,402.15,494.47,616.52,756.80,688.79,575.21,652.94,579.47,490.87,228.06,254.14,238.95,179.48,172.20
125,70.93,65.47,87.30,149.17,258.36,415.53,405.23,425.28,406.44,433.16,339.07,398.54,518.15,642.63,760.47,697.86,551.54,656.62,565.50,479.92,237.14,248.66,241.98,203.76,183.76
126,80.64,62.44,83.67,149.16,258.98,382.78,447.72,386.43,417.38,450.17,326.96,346.96,491.43,632.91,751.95,677.82,553.95,657.20,586.76,455.03,244.45,255.92,223.18,198.30,186.79
127,86.70,70.33,90.95,149.18,234.73,357.28,431.34,412.53,427.70,431.33,356.07,362.15,492.67,655.37,775.01,677.23,549.73,648.71,575.23,469.01,242.02,234.09,221.35,199.51,192.26
128,81.85,69.12,74.57,144.31,241.38,393.10,408.87,422.24,413.11,425.89,363.96,370.04,452.60,618.35,745.27,692.41,523.62,672.36,562.47,502.37,234.73,249.86,207.40,195.27,177.07
129,63.05,55.17,87.90,144.32,242.59,390.05,421.02,407.67,417.38,414.34,343.95,357.27,479.28,621.36,779.90,699.11,561.87,649.90,570.97,448.33,232.33,268.68,209.22,214.70,184.97
